CPF_Number,Operator_ID,Operator_Name,Operator_Searchable_Name,Region,Pipeline_Type,How_Discovered?,Case_Type,Notice_Actions,Cited_Regulations,Violation_Category,Proposed_Penalties,Assessed_Penalties,Collected_Penalties,Case_Status,Opened_Date,Latest_Order_Type,Latest_Order_Date,Closed_Date,Notice_Sent_Date,Operator_Response_Date,Operator_Request_Hearing_Date,Hearing_Date,Final_Order_Date,Petition_for_Reconsideration_Date,Decision_on_Petition_Date,Consent_Order_Date,Corrective_Action_Order_Date,Order_Direct_Amendment_Date,Safety_Order_Date,Penalty_Collected_Date,Region_Withdrawn_Date,Opened_Year,Closed_Year,Order_Issued_Ind,Final_Order_Ind,Petition_for_Reconsideration_Ind,Decision_on_Petition_Ind,Consent_Order_Ind,Corrective_Action_Order_Ind,Order_Direct_Amendment_Ind,Safety_Order_Ind,Penalty_Collected_Ind,Case_Closure_Ind,Proposed_Civil_Penalty_Ind,Proposed_Compliance_Order_Ind,Penalty_Reduction_Ind,Basis_for_penalty_reduction,Report_Type,Report_Number,WMS_Activity_Seq,Data_Source,Data_as_of
320206005W,32094,AUX SABLE LIQUID PRODUCTS,AUX SABLE LIQUID PRODUCTS,Central,INTRASTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,"195.404(b)(2),  195.446(j)(1),  195.452(l)(1)(ii)","Control Room Management,  Integrity Management,  Operation and/or Maintenance",,,,CLOSED,12/16/20,,,12/16/20,12/16/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,19-164022S,WMS (SMART migrated),09/03/2025 9:00 AM
320205021,31288,"FLINT HILLS RESOURCES PINE BEND, LLC","FLINT HILLS RESOURCES PINE BEND, LLC",Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CP, WI","195.403(b)(1),  195.410(a)(1),  195.412(a),  195.428(a),  195.428(c),  195.428(d),  195.452(l)(1)(ii)","Integrity Management,  Operation and/or Maintenance",38300,19000,19000,CLOSED,12/15/20,Decision for Reconsideration,1/18/22,1/31/22,12/15/20,1/14/21,,,8/23/21,9/11/21,1/18/22,,,,,1/31/22,,2020,2022,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,Additional evidence,,,19-166915S,WMS (SMART migrated),09/03/2025 9:00 AM
220205003M,2552,COLONIAL PIPELINE CO,COLONIAL PIPELINE CO,Southern,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.402(c)(3),  195.589(c)","Corrosion Control,  OME Procedural Manual",,,,CLOSED,12/15/20,,,3/9/22,12/15/20,2/12/21,,,,,,,,,,,,2020,2022,,,,,,,,,,Yes,,,,,,,18-162643S,WMS (SMART migrated),09/03/2025 9:00 AM
220205001,2552,COLONIAL PIPELINE CO,COLONIAL PIPELINE CO,Southern,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, WI","195.262(b)(2),  195.412(b),  195.567(a),  195.567(c),  195.61(b)","Construction,  Corrosion Control,  Operation and/or Maintenance,  Reporting",,,,OPEN,12/15/20,Consent Order,5/4/21,,12/15/20,2/12/21,2/12/21,,,,,5/4/21,,,,,,2020,,Yes,,,,Yes,,,,,,,Yes,,,,,18-162643S,WMS (SMART migrated),09/03/2025 9:00 AM
42020019WL,39105,VALERO PARTNERS OPERATING CO. LLC,VALERO PARTNERS OPERATING CO. LLC,Southwest,INTERSTATE LIQUID,Specialized,Warning Letter,WI,195.49,Reporting,,,,CLOSED,12/10/20,,,12/10/20,12/10/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,20-182839,WMS,09/03/2025 9:00 AM
420205017,30626,TARGA NGL PIPE LINE CO,TARGA NGL PIPE LINE CO,Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, WI","195.452(f)(6),  195.505(b),  195.505(f),  195.505(i)","Integrity Management,  Operator Qualification",,,,CLOSED,12/10/20,Final Order,2/12/21,9/14/21,12/10/20,12/29/20,,,2/12/21,,,,,,,,,2020,2021,Yes,Yes,,,,,,,,Yes,,Yes,,,,,19-165504S,WMS (SMART migrated),09/03/2025 9:00 AM
220206003W,2190,CENTRAL FLORIDA PIPELINE CORP,CENTRAL FLORIDA PIPELINE CORP,Southern,INTRASTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,"195.428(a),  195.52(a)","Operation and/or Maintenance,  Reporting",,,,CLOSED,12/9/20,,,12/9/20,12/9/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,Incident Report,Hazardous Liquid - 20190070,19-164507S,WMS (SMART migrated),09/03/2025 9:00 AM
42020018NOPV,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)","TEXAS EASTERN TRANSMISSION, LP",Southwest,INTERSTATE GAS TRANSMISSION,Specialized,Notice of Probable Violation,CP,191.22(c)(1)(i),Reporting,36200,18100,18100,CLOSED,12/9/20,Consent Order,4/8/21,7/8/21,12/9/20,1/11/21,1/11/21,,,,,4/8/21,,,,7/8/21,,2020,2021,Yes,,,,Yes,,,,Yes,Yes,Yes,,Yes,Operator Cooperation,,,20-189114,WMS,09/03/2025 9:00 AM
220200003W,6030,GAINESVILLE REGIONAL UTIL GAS DEPT,GAINESVILLE REGIONAL UTIL GAS DEPT,Southern,GAS INTRASTATE ONSHORE,First Operating,Warning Letter,WI,"192.491(c),  192.603(b),  192.723(b)(2),  192.741(a),  192.743(a)","Corrosion Control,  Operation and/or Maintenance",,,,CLOSED,12/9/20,,,12/9/20,12/9/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,19-166262S,WMS (SMART migrated),09/03/2025 9:00 AM
220201002,189,"BBT ALATENN, LLC","BBT ALATENN, LLC",Southern,GAS INTERSTATE ONSHORE,Integrated,Notice of Probable Violation,"CO, WI","192.161(a)(3),  192.161(b),  192.161(c)(2),  192.161(c)(3),  192.463(a),  192.605(a),  192.605(b)(2),  192.947(g)","Corrosion Control,  Design,  Integrity Management,  OME Procedural Manual",,,,CLOSED,12/9/20,Final Order,2/12/21,3/22/22,12/9/20,1/8/21,,,2/12/21,,,,,,,,,2020,2022,Yes,Yes,,,,,,,,Yes,,Yes,,,,,19-163523S,WMS (SMART migrated),09/03/2025 9:00 AM
320205032W,32215,NOVA CHEMICALS CORPORATION,NOVA CHEMICALS CORPORATION,Central,INTERSTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,"195.507,  195.573(a)(1),  195.583(a)","Corrosion Control,  Operator Qualification",,,,CLOSED,12/9/20,,,12/9/20,12/9/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,18-163083S,WMS (SMART migrated),09/03/2025 9:00 AM
320201012,405,ANR PIPELINE CO,ANR PIPELINE CO,Central,GAS INTERSTATE ONSHORE,Integrated,Notice of Probable Violation,"CO, CP, WI","192.163(d),  192.603(b),  192.605(a),  192.609,  192.705(a),  192.735(a),  192.905(b),  192.935(a)","Design,  Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance",252900,252900,252900,CLOSED,12/4/20,Final Order,5/12/21,11/4/21,3/12/21,4/9/21,2/1/21,,5/12/21,,,,,,,5/20/21,,2020,2021,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,17-157266S,WMS (SMART migrated),09/03/2025 9:00 AM
320205024,11032,SPIRE MISSOURI INC. EAST,SPIRE MISSOURI INC. EAST,Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, CO/CP, CP, WI","195.402(a),  195.436,  195.440(c),  195.446(c)(3),  195.452(b)(5),  195.452(h)(1)(ii),  195.452(l)(1)(ii),  195.505(b)","Control Room Management,  Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance,  Operator Qualification,  Public Awareness",139800,62600,62600,CLOSED,11/30/20,Consent Order,4/9/21,10/13/21,11/30/20,2/1/21,2/1/21,,,,,4/9/21,,,,5/3/21,,2020,2021,Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence; Operator Cooperation,,,19-167980S,WMS (SMART migrated),09/03/2025 9:00 AM
420205016M,30657,BRAVO PIPELINE COMPANY,BRAVO PIPELINE COMPANY,Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.402(a),  195.452(m),  195.503(b),  195.505(b),  195.505(e),  195.52(b)(6),  195.52(b)(7),  195.52(c),  195.52(d),  195.573(a)(1),  195.583(c)","Corrosion Control,  Integrity Management,  OME Procedural Manual,  Operator Qualification,  Reporting",,,,CLOSED,11/24/20,,,6/11/21,11/24/20,2/25/21,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,17-158457S,WMS (SMART migrated),09/03/2025 9:00 AM
12020017NOA,17360,"RICHMOND, CITY OF","RICHMOND, CITY OF",Eastern,DISTRIBUTION MUNICIPAL,60106 Agreement,Notice of Amendment,NOA,"192.605(b)(1),  199.101(a)(1),  199.202","Drug and Alcohol,  OME Procedural Manual",,,,CLOSED,11/24/20,,,2/5/21,11/24/20,1/7/21,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,20-172760,WMS,09/03/2025 9:00 AM
12020019WL,31604,EQUITRANS MIDSTREAM CORPORATION,EQUITRANS MIDSTREAM CORPORATION,Eastern,"INTERSTATE GAS TRANSMISSION, INTRASTATE GAS TRANSMISSION",Integrated,Warning Letter,WI,192.731(a),Operation and/or Maintenance,,,,CLOSED,11/24/20,,,11/24/20,11/24/20,2/17/21,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,20-171845,WMS,09/03/2025 9:00 AM
320205010W,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","ENBRIDGE ENERGY, LIMITED PARTNERSHIP",Central,INTERSTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,"195.401(b)(1),  195.402(a),  195.402(c)(3),  195.404(a)(3),  195.404(c)(3),  195.410(a)(1),  195.410(c),  195.428(a),  195.452(h)(2),  195.505(b),  195.505(c),  195.573(c),  195.589(a)(3)","Corrosion Control,  Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance,  Operator Qualification",,,,CLOSED,11/20/20,,,11/20/20,11/20/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,17-158844S,WMS (SMART migrated),09/03/2025 9:00 AM
320205008M,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","ENBRIDGE ENERGY, LIMITED PARTNERSHIP",Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.222(a),  195.402(a),  195.402(c)(13),  195.402(c)(3),  195.402(e)(9),  195.428(a),  195.428(d),  195.452(b)(1),  195.452(b)(5),  195.555,  195.573(a)(2)","Construction,  Corrosion Control,  Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,11/20/20,,,6/25/21,11/20/20,1/19/21,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,17-158844S,WMS (SMART migrated),09/03/2025 9:00 AM
320205009,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","ENBRIDGE ENERGY, LIMITED PARTNERSHIP",Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, CO/CP, CP","195.116(e),  195.401(b)(1),  195.402(a),  195.402(e)(9),  195.412(a),  195.428(a),  195.432(b),  195.573(e),  195.581,  195.581(a),  195.581(c),  195.583","Corrosion Control,  Design,  OME Procedural Manual,  Operation and/or Maintenance",122100,98900,98900,CLOSED,11/19/20,Decision for Reconsideration,12/21/21,3/5/25,11/19/20,1/19/21,,,8/9/21,8/30/21,12/21/21,,,,,8/30/21,,2020,2025,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence,,,17-158844S,WMS (SMART migrated),09/03/2025 9:00 AM
520200010,31142,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,Western,GAS INTRASTATE ONSHORE,Integrated,Notice of Probable Violation,"CO, CO/CP, CP, WI","192.203(b)(9),  192.465(d),  192.467(a),  192.467(d),  192.479(a),  192.481(a),  192.481(b),  192.614(c)(1),  192.616(c),  192.616(d)(3),  192.707(c),  192.739(a),  192.743(a),  192.807(b)","Corrosion Control,  Damage Prevention,  Design,  Operation and/or Maintenance,  Operator Qualification,  Public Awareness",151900,151900,151900,CLOSED,11/18/20,Final Order,6/15/21,11/16/23,11/18/20,12/2/20,,,6/15/21,,,,,,,6/30/21,,2020,2023,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,19-166675S,WMS (SMART migrated),09/03/2025 9:00 AM
520200011M,31142,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,Western,GAS INTRASTATE ONSHORE,Integrated,Notice of Amendment,NOA,192.935(b)(1)(iv),Integrity Management,,,,CLOSED,11/18/20,,,12/10/20,11/18/20,12/2/20,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,19-166676S,WMS (SMART migrated),09/03/2025 9:00 AM
420201010,405,ANR PIPELINE CO,ANR PIPELINE CO,Southwest,GAS INTERSTATE ONSHORE,Integrated,Notice of Probable Violation,"CO/CP, WI","192.616(a),  192.727(b)","Operation and/or Maintenance,  Public Awareness",36200,36200,36200,CLOSED,11/16/20,Final Order,1/28/21,10/7/21,11/16/20,12/16/20,,,1/28/21,,,,,,,2/10/21,,2020,2021,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,18-163745S,WMS (SMART migrated),09/03/2025 9:00 AM
420201011M,405,ANR PIPELINE CO,ANR PIPELINE CO,Southwest,GAS INTERSTATE ONSHORE,Integrated,Notice of Amendment,NOA,"192.225(a),  192.616(a),  192.616(c)","Public Awareness,  Welding of Steel in Pipelines ",,,,CLOSED,11/16/20,,,4/30/21,11/16/20,12/16/20,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,18-163745S,WMS (SMART migrated),09/03/2025 9:00 AM
320205031M,39731,VANTAGE PIPELINE US LP,VANTAGE PIPELINE US LP,Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.401(b)(1),  195.402(c)(13),  195.446(b)(1),  195.446(d),  195.505(c)","Control Room Management,  OME Procedural Manual,  Operation and/or Maintenance,  Operator Qualification",,,,CLOSED,11/13/20,,,12/2/20,11/13/20,11/30/20,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,18-163065S,WMS (SMART migrated),09/03/2025 9:00 AM
42020009NOA,31627,"DENBURY ONSHORE, LLC","DENBURY ONSHORE, LLC",Southwest,"INTERSTATE LIQUID, INTRASTATE LIQUID",O&M Program,Notice of Amendment,NOA,"195.110(a),  195.207(c),  195.262(a),  195.402(a),  195.402(c)(3),  195.402(c)(7),  195.403(c),  195.573(e)","Construction,  Corrosion Control,  Design,  OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,11/12/20,,,3/8/21,11/12/20,12/10/20,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,20-179978,WMS,09/03/2025 9:00 AM
12020018WL,31130,DCP MIDSTREAM,"DCP MIDSTREAM, LP",Eastern,INTRASTATE UNDERGROUND NG STORAGE,Standard,Warning Letter,WI,191.22(c)(1)(iv),Reporting,,,,CLOSED,11/12/20,,,11/12/20,11/12/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,20-172146,WMS,09/03/2025 9:00 AM
12020016WL,17360,"RICHMOND, CITY OF","RICHMOND, CITY OF",Eastern,DISTRIBUTION MUNICIPAL,60106 Agreement,Warning Letter,WI,"192.721(b)(2),  192.805(b),  199.5","Drug and Alcohol,  Operation and/or Maintenance,  Operator Qualification",,,,CLOSED,11/12/20,,,11/12/20,11/12/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,20-172760,WMS,09/03/2025 9:00 AM
320206003M,39349,"USG WHEATLAND PIPELINE, LLC","USG WHEATLAND PIPELINE, LLC",Central,INTRASTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.230,  195.402(c)(3),  195.402(d)(3),  195.563(c),  195.573(d),  195.573(e),  195.585,  195.587","Construction,  Corrosion Control,  OME Procedural Manual",,,,CLOSED,11/12/20,,,10/7/21,11/12/20,12/8/20,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,18-163067S,WMS (SMART migrated),09/03/2025 9:00 AM
320205013M,22610,"MAGELLAN PIPELINE COMPANY, LP","MAGELLAN PIPELINE COMPANY, LP",Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.402(c)(2),  195.432(a),  195.452(f)(4),  195.52(d),  195.54(a)","Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance,  Reporting",,,,CLOSED,11/6/20,,,9/21/21,11/6/20,12/4/20,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,18-162125S,WMS (SMART migrated),09/03/2025 9:00 AM
320205026,22610,"MAGELLAN PIPELINE COMPANY, LP","MAGELLAN PIPELINE COMPANY, LP",Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, CP, WI","195.116(f)(2),  195.404(a),  195.452(b)(5),  195.452(j)(1),  195.452(j)(2),  195.505(h)","Design,  Integrity Management,  Operation and/or Maintenance,  Operator Qualification",52500,52500,52500,CLOSED,11/6/20,Final Order,6/28/21,6/28/24,11/6/20,12/18/20,,,6/28/21,,,,,,,7/7/21,,2020,2024,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,16-152634S,WMS (SMART migrated),09/03/2025 9:00 AM
320205027M,31684,PHILLIPS 66 PIPELINE LLC,PHILLIPS 66 PIPELINE LLC,Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,195.402(c)(13),OME Procedural Manual,,,,CLOSED,11/5/20,,,2/26/21,11/5/20,11/13/20,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,19-163124S,WMS (SMART migrated),09/03/2025 9:00 AM
320205028W,31684,PHILLIPS 66 PIPELINE LLC,PHILLIPS 66 PIPELINE LLC,Central,INTERSTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,"195.404(c)(3),  195.428(a),  195.49,  195.573(d)","Corrosion Control,  Operation and/or Maintenance,  Reporting",,,,CLOSED,11/5/20,,,11/5/20,11/5/20,12/1/20,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,18-163125S,WMS (SMART migrated),09/03/2025 9:00 AM
420205013,300,"PLAINS PIPELINE, L.P.","PLAINS PIPELINE, L.P.",Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO, WI","195.402(a),  195.430(a),  195.430(c),  195.589(a),  195.589(c)","Corrosion Control,  OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,11/5/20,Final Order,2/24/21,10/17/22,11/5/20,1/5/21,,,2/24/21,,,,,,,,,2020,2022,Yes,Yes,,,,,,,,Yes,,Yes,,,,,19-164724S,WMS (SMART migrated),09/03/2025 9:00 AM
320205030W,99031,CITGO PETROLEUM CORPORATION (TERMINALS),CITGO PETROLEUM CORPORATION (TERMINALS),Central,INTERSTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,"195.446(c),  195.446(f)(2)",Control Room Management,,,,CLOSED,11/5/20,,,11/5/20,11/5/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,18-163813S,WMS (SMART migrated),09/03/2025 9:00 AM
320205029M,99031,CITGO PETROLEUM CORPORATION (TERMINALS),CITGO PETROLEUM CORPORATION (TERMINALS),Central,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,"195.402(c)(3),  195.402(e)(4),  195.402(e)(5),  195.402(e)(6),  195.402(e)(8),  195.428(d)","OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,11/5/20,,,2/5/21,11/5/20,1/28/21,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,18-163813S,WMS (SMART migrated),09/03/2025 9:00 AM
42020001NOA,602,"ENABLE GAS TRANSMISSION, LLC","ENABLE GAS TRANSMISSION, LLC",Southwest,"INTERSTATE GAS TRANSMISSION, INTERSTATE UNDERGROUND NG STORAGE",Control Room Management,Notice of Amendment,NOA,"192.631(a),  192.631(b)(1),  192.631(c)(2)",Control Room Management,,,,CLOSED,11/3/20,,,1/20/21,11/3/20,1/12/21,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,20-173857,WMS,09/03/2025 9:00 AM
42020002NOPV,602,"ENABLE GAS TRANSMISSION, LLC","ENABLE GAS TRANSMISSION, LLC",Southwest,INTERSTATE GAS TRANSMISSION; INTERSTATE UNDERGROUND NG STORAGE,Control Room Management,Notice of Probable Violation,CO,"192.631(f)(1),  192.631(f)(2),  192.631(f)(3)",Control Room Management,,,,CLOSED,11/3/20,Final Order,2/3/21,5/21/21,11/3/20,11/30/20,,,2/3/21,,,,,,,,,2020,2021,Yes,Yes,,,,,,,,Yes,,Yes,,,,,20-173857,WMS,09/03/2025 9:00 AM
42020010NOA,39979,"ARM MIDSTREAM MANAGEMENT, LLC","ARM MIDSTREAM MANAGEMENT, LLC",Southwest,INTERSTATE LIQUID,First Operating,Notice of Amendment,NOA,"195.402(c)(3),  195.573(a)(2)","Corrosion Control,  OME Procedural Manual",,,,CLOSED,11/2/20,,,5/21/21,11/2/20,1/7/21,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,20-171918,WMS,09/03/2025 9:00 AM
32020001NOPV,10035,"KPC PIPELINE, LLC","KPC PIPELINE, LLC",Central,INTERSTATE GAS TRANSMISSION,Integrated,Notice of Probable Violation,"CO, WI","191.17(a),  192.167(a)(4),  192.227(a),  192.709(c),  192.917(c),  192.947(d)","Design,  Integrity Management,  Operation and/or Maintenance,  Reporting,  Welding of Steel in Pipelines ",,,,CLOSED,11/2/20,Final Order,1/4/21,7/30/21,11/2/20,12/1/20,,,1/4/21,,,,,,,,,2020,2021,Yes,Yes,,,,,,,,Yes,,Yes,,,,,20-182881,WMS,09/03/2025 9:00 AM
42020011WL,39498,COX OPERATING LLC,COX OPERATING LLC,Southwest,OFFSHORE LIQUID,HL IM Program,Warning Letter,WI,195.505(b),Operator Qualification,,,,CLOSED,10/30/20,,,10/30/20,10/30/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,20-184100,WMS,09/03/2025 9:00 AM
420201008,13750,NORTHERN NATURAL GAS CO,NORTHERN NATURAL GAS CO,Southwest,GAS INTERSTATE ONSHORE,Integrated,Notice of Probable Violation,"CO, WI","191.5(a),  192.935(c)","Integrity Management,  Reporting",,,,CLOSED,10/30/20,Final Order,4/23/21,9/10/21,10/30/20,11/5/20,,,4/23/21,,,,,,,,,2020,2021,Yes,Yes,,,,,,,,Yes,,Yes,,,Incident Report,Gas Transmission and Gathering - 20190042,20-165948S,WMS (SMART migrated),09/03/2025 9:00 AM
420201007M,13750,NORTHERN NATURAL GAS CO,NORTHERN NATURAL GAS CO,Southwest,GAS INTERSTATE ONSHORE,Integrated,Notice of Amendment,NOA,"191.5(a),  192.303,  192.605(a),  192.615(c),  192.715(c),  192.907(a),  192.911(c)","Construction,  Integrity Management,  OME Procedural Manual,  Operation and/or Maintenance,  Reporting",,,,CLOSED,10/30/20,,,3/18/21,10/30/20,11/20/20,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,19-165946S,WMS (SMART migrated),09/03/2025 9:00 AM
320206002M,12913,SUPERIOR REFINING COMPANY LLC,SUPERIOR REFINING COMPANY LLC,Central,INTRASTATE LIQUID ONSHORE,Integrated,Notice of Amendment,NOA,195.402(c)(3),OME Procedural Manual,,,,CLOSED,10/30/20,,,7/21/21,10/30/20,,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,19-163805S,WMS (SMART migrated),09/03/2025 9:00 AM
320201010W,3590,CITY OF DULUTH PUBLIC WORKS & UTILITIES,CITY OF DULUTH PUBLIC WORKS & UTILITIES,Central,GAS INTERSTATE ONSHORE,Integrated,Warning Letter,WI,192.931(b),Integrity Management,,,,CLOSED,10/29/20,,,10/29/20,10/29/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,19-163802S,WMS (SMART migrated),09/03/2025 9:00 AM
320205025W,31174,"SHELL PIPELINE CO., L.P.","SHELL PIPELINE CO., L.P.",Central,INTERSTATE LIQUID ONSHORE,Integrated,Warning Letter,WI,195.49,Reporting,,,,CLOSED,10/29/20,,,10/29/20,10/29/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,19-163807S,WMS (SMART migrated),09/03/2025 9:00 AM
320201011W,15105,PANHANDLE EASTERN PIPELINE CO,PANHANDLE EASTERN PIPELINE CO,Central,GAS INTERSTATE ONSHORE,Integrated,Warning Letter,WI,192.919(c),Integrity Management,,,,CLOSED,10/29/20,,,10/29/20,10/29/20,,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,18-162648S,WMS (SMART migrated),09/03/2025 9:00 AM
420203004,32152,"SABINE PASS LNG, L.P. (Cheniere)","SABINE PASS LNG, L.P. (Cheniere)",Southwest,INTERSTATE LNG ONSHORE,Failure Investigation,Notice of Probable Violation,"CP, WI","193.2605,  193.2707(a)","Operation and/or Maintenance,  Qualifications and Training",80100,80100,80100,CLOSED,10/27/20,Final Order,1/8/21,1/8/21,10/27/20,11/25/20,,,1/8/21,,,,,,,11/30/20,,2020,2021,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,20-168416S,WMS (SMART migrated),09/03/2025 9:00 AM
420205015,30657,BRAVO PIPELINE COMPANY,BRAVO PIPELINE COMPANY,Southwest,INTERSTATE LIQUID ONSHORE,Integrated,Notice of Probable Violation,"CO/CP, WI","195.571,  195.589(c)",Corrosion Control,105500,81300,81300,CLOSED,10/27/20,Final Order,12/22/21,1/14/22,10/27/20,2/25/21,,,12/22/21,,,,,,,1/14/22,,2020,2022,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Other,,,17-158457S,WMS (SMART migrated),09/03/2025 9:00 AM
320201007W,1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC","TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",Central,GAS INTERSTATE ONSHORE,Control Room Management,Warning Letter,WI,192.805(c),Operator Qualification,,,,CLOSED,10/26/20,,,10/26/20,10/26/20,11/25/20,,,,,,,,,,,,2020,2020,,,,,,,,,,Yes,,,,,,,18-159646S,WMS (SMART migrated),09/03/2025 9:00 AM
320201009M,1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC","TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",Central,GAS INTERSTATE ONSHORE,Control Room Management,Notice of Amendment,NOA,"192.605(b)(12),  192.631(a),  192.631(b),  192.631(c)(1),  192.631(c)(2),  192.631(h)",Control Room Management,,,,CLOSED,10/26/20,,,10/1/21,10/26/20,11/25/20,,,,,,,,,,,,2020,2021,,,,,,,,,,Yes,,,,,,,18-159646S,WMS (SMART migrated),09/03/2025 9:00 AM
